audit_index,id,title,author,year_published,current_bands,decision,new_bands,rationale,beth_review_flag
J-001,f64f1281-5773-481e-aa59-a2396bb0ff9e,A Seed Grows,Antoinette Portis,2022,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The botanical back matter (germination chemistry, photosynthesis, pollination ecology) and fold-out sunflower scale give 7-9 substantive plant science beyond the picture-book surface; each band engages a different depth layer of the same content.",
J-002,61c912a2-2699-4243-907c-9e6899cb2c98,Alexander and the Terrible Horrible No Good Very Bad Day,Judith Viorst,1972,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","A fluent 7-9 reader decodes the single-thread emotional narrative in under 5 minutes; the Australian refrain is the only geographic hook and is too thin to constitute a second layer, leaving no substantive content the band hasn't already fully processed.",
J-003,becc0e7e-b20e-4141-8b9c-cd750c8c5ab3,Anything,Rebecca Stead,2025,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9",The mathematical concept of infinity and the philosophical landscape of possibility carry genuine depth for all three bands; the 'how many anythings' spread functions as a visual puzzle 7-9 can engage mathematically while 3-4 experience it as wonder.,
J-004,0b6f5c1e-fb5c-44b3-a092-88c2bd1a4876,At the Window,Hope Lim,2025,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The implied-loss narrative and apartment-observation premise are calibrated for the 3-6 emotional range; at 7-9 the friendship-loss-reorientation sequence is processed quickly without a conceptual second layer that justifies the band.,
J-005,6e1f2676-03fb-4c8f-a973-09578100de31,Bartleby,Matt Phelan,2026,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9",Identity formation and resistance to social conformity are authentic 7-9 concerns as peer dynamics intensify; a 7-9 reading about a polar bear refusing to change his essential nature brings real social experience to the text that makes the concept genuinely substantive at this band.,
J-006,9bf459f7-ad66-4fed-a9e8-021ac99d3177,Brave Irene,William Steig,1986,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","Steig's elevated vocabulary and the genuine weather science (blizzard physics, wind chill, landmark navigation) give 7-9 substantive content beyond the determination narrative; the problem-solving logic when the dress flies away models resourceful reasoning the band can engage critically.",
J-007,0b93858b-1484-42c5-993b-59aa28e6a98c,Chooch Helped,Andrea L. Rogers,2024,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The sibling-exhaustion premise is emotionally resonant but concept-thin for 7-9; a fluent reader decodes the entire emotional arc in a single sitting without encountering a second layer that requires the cognitive capacity of this band.,
J-008,25aba46b-c9ce-40d3-be9c-a0e32a8a8c07,Chrysanthemum,Kevin Henkes,1991,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","Though the linguistics content (names, etymology, weight of words) gestures toward 7-9 territory, the K-1 mouse-school format and concept depth read as 'for little kids' to a fluent 7-year-old; the name-teasing arc is fully decoded in under 5 minutes with no expanding layer.",
J-009,ad2a033f-c5f0-4e35-bbeb-2e736bbba0f4,Click Clack Moo: Cows That Type,Doreen Cronin,2000,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The civics content (collective bargaining, formal written demands, third-party mediation via Duck) and literacy-as-power theme carry genuine substance for all three bands; each band engages a different layer — 3-4 the comedy, 5-6 the writing mechanics, 7-9 the labor-rights structure.",
J-010,059bbc49-9742-4eae-8200-2bbd64e79188,Diary of a Spider,Doreen Cronin,2005,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The arachnid biology (webs, molting, silk production) is presented at picture-book density insufficient for 7-9 primary content; the diary format and concept weight are calibrated for 5-6 emerging readers, leaving no second layer for a fluent 7-9 reader.",
J-011,ff3e0389-e6f9-4b05-965b-39e3b5586f77,Diary of a Worm,Doreen Cronin,2003,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The soil ecology content (decomposition, earthworm biology) is authentic but presented at early-reader picture-book density; by 7-9 the diary format is familiar and the science is too thinly layered to engage a fluent reader as primary content.",
J-012,684ebd3f-446d-4e68-b20a-dd5fe819d7d9,Doctor De Soto,William Steig,1982,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The ethical puzzle (professional duty vs. self-protection, trust violation and premeditated response) engages 7-9 moral reasoning; Steig's elevated vocabulary and the logical elegance of the glue solution reward a fluent reader's analytical attention.",
J-013,1ba03b53-9997-46c0-aa65-c72caef1974c,Don't Eat the Birthday Boy!,Donna Barba Higuera,2026,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The impulse-vs.-relationship concept is thinly developed for 7-9; the monster-birthday-party comedy premise delivers the concept at picture-book density without a second layer that justifies the Artisan band.,
J-014,2b0e837b-e50b-40db-8a86-75aedd4f2a23,Don't Trust Fish,Neil Sharpson,2025,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The epistemology content (unreliable narration, the difference between assertion and evidence) has genuine educational substance for 7-9 developing critical thinking; 3-4 engage the absurdist fish comedy while 7-9 engage the logic-of-truth-claims layer that underpins it.",
J-015,9ecafe57-379b-4883-a410-b5f095437989,Drum Dream Girl,Margarita Engle,2015,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The layered content (Cuban gender history, Afro-Cuban musical tradition, physics of percussion, Caribbean geography, verse poetry structure) gives 7-9 simultaneous academic hooks across history, music, and geography; each band extracts a different primary layer from the same text.",
J-016,aa6d9b53-68b4-4d6f-804d-30858fe9501d,Enemy Pie,Derek Munson,2000,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The friendship-mechanics content (proximity and shared play dissolving hostility) is well within a 7-9's existing social understanding; the picture-book format delivers the concept without a second layer, and the father's method reads as charming rather than analytically engaging at this band.",
