audit_index,id,title,author,current_bands,reading_level,book_format,year_published,browse_visible,population,decision,new_bands,beth_review_flag,heads_up,rationale
A-001,769a4e13-eef7-4616-bdd0-bf764d7b8f40,Moonbird,Phillip Hoose,"10-12, 8-10",advanced,nonfiction,2012,True,A — 8-10 retag,retag,10-12,none,,"Moonbird is a Sibert Medal nonfiction with dense ornithology, climate science, and 9000-mile migration tracking. Advanced reading level. Content depth — banding science, conservation policy — sits squarely in Scholar. Not Artisan; the methodology of long-form science journalism asks for the reader who can hold a book-length argument."
A-002,7fb8eb2e-b322-41a1-a5c7-90af54aecb92,The Lost City of Z (Young Readers Edition),David Grann,"10-12, 8-10",advanced,nonfiction,2017,True,A — 8-10 retag,retag,10-12,none,,"The Lost City of Z is dark adventure history with explorer disappearance, jungle violence, and contested archaeology. Young Readers Edition or not, the moral ambiguity and historical scope are Scholar-tier. Advanced reading level confirms."
A-003,843303ec-5968-4384-a319-452755e169fb,Actual Size,Steve Jenkins,"5-7, 8-10",early-reader,nonfiction,2004,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Actual Size is large-format size-comparison nonfiction. Pure visual concept (animal hand vs reader hand). Works at 5-6 read-aloud and 7-9 independent browsing. The content has no developmental gate — a 5-year-old gasps at the same page a 9-year-old measures.
A-004,1f6aad44-0cb4-4910-9b6b-229bd02189fb,Barbed Wire Between Us,Mia Wenjen,"5-7, 8-10",early-reader,nonfiction,2026,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: Barbed Wire Between Us pairs WWII Japanese American incarceration with present-day US-Mexico border detention. Two histories of children behind fences. Format is early-reader but content sensitivity is high. Holds at 7-9 with adult support per Read and Discuss; extends to Scholar for deeper engagement. Heads Up territory — Beth confirms framing fits Artisan or routes Scholar-only."
A-005,80852334-2007-4931-908e-5c9ef2a39a3b,Jumper: A Day in the Life of a Backyard Jumping Spider,Jessica Lanan,"5-7, 8-10",early-reader,nonfiction,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Jumper jumping spider day-in-the-life. Early-reader, accessible biology, eight-eyed perception is the orbital hook. 5-6 with adult, 7-9 independent — clean dual-band fit."
A-006,43f2bcf6-b39d-49b6-a44c-e412b3d46def,Life after Whale,Lynn Brunelle,"5-7, 8-10",early-reader,nonfiction,2024,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Life After Whale on whale-fall ecosystems is a strong Wizkoo book — death of one creature becomes the foundation of a 100-year ecosystem. Early-reader format with deep ecology content. Death-of-animal handled scientifically not emotionally. 5-6 with adult support, 7-9 independent."
A-007,3c6bab30-5b44-49ee-ae89-c39c0d494a6a,Marie's Magic Eggs: How Marie Procai Kept the Ukrainian Art of Pysanky Alive,Sandra Neil Wallace,"5-7, 8-10",early-reader,nonfiction,2026,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Maries Magic Eggs (pysanky) is Ukrainian cultural preservation through art form. Early-reader nonfiction. 5-6 read-aloud for visual pattern fascination, 7-9 for the cultural-history layer."
A-008,b38be417-362b-4101-95db-f6f91732825d,"Revolutionary Mary: The True Story of One Woman, the Declaration of Independence, and America's Fight for Freedom",Karen Blumenthal and Jen McCartney,"5-7, 8-10",early-reader,nonfiction,2025,True,A — 8-10 retag,retag,7-9,none,,"Revolutionary Mary on Mary Katharine Goddard. American Revolution context, printing trade detail. Content depth (women erased from founding history) wants the 7-9 reader who can hold an argument; pulled out of 5-6 because the Declaration-of-Independence context requires civic vocabulary."
A-009,d1151e1a-5f32-417d-9b2a-61507575c597,The Cecilia Payne Story: Reaching for the Stars,Laura Alary,"5-7, 8-10",early-reader,nonfiction,2026,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Cecilia Payne Story discovers stars are mostly hydrogen, gets dismissed, is later proven right. Early-reader format. Astronomy + sexism-in-science theme. Works 5-6 read-aloud for ""the stars are made of what?"" wonder, 7-9 for the institutional-injustice layer."
A-010,d82370df-abda-4756-ba5b-fc636779146d,"The Iguanodon's Horn: How Two Centuries of Mystery, Mistakes, and Fossil Fixes Changed the Way We Look at Dinosaurs",Sean Rubin,"5-7, 8-10",early-reader,nonfiction,2024,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Iguanodons Horn — paleontology methodology, scientific self-correction. Strong Wizkoo book on epistemology disguised as dinosaur history. Early-reader. 5-6 with adult, 7-9 independent."
