book_id,title,author,current_score,v2_score,decision,door_count,doors_identified,second_layer_pass,rationale
64786a7e-2554-43b3-a1d6-269c03c9e3fa,A Different Pond,Bao Phi,5,5,hold-5,5,"immigration experience, Vietnamese war history, father-son relationship, cultural identity, grief/memorial",yes,"Five integrated doors: immigration, war history, sustenance, cultural identity, grief. Second layer holds: fishing reads as quiet morning with dad at 5-6; at 7-9 the wartime refugee backstory embedded in the fathers silences becomes visible — same scenes, different meaning."
b1858f24-47bf-4366-9c8a-6f8b6a7a1beb,A Drop of Water,Walter Wick,5,4,drop-to-4,4,"photography/art, surface tension physics, states of matter, real-world science observation",no,"Four natural doors: art, physics, chemistry, observation. Second layer fails: visual wonder of water reads the same at every age — more vocabulary, same meaning."
f1a40664-c949-42b4-afdf-1df0dc3f441c,A Flea for Justice: Marian Wright Edelman Stands Up for Change,Valerie Bolling,5,4,drop-to-4,4,"civil rights history, childrens advocacy/policy, biography, civic/legal process",no,"Four doors: civil rights, advocacy, biography, civics. Second layer fails: inspiring biography fully decoded once; policy mechanism delivered linearly."
7a1bfbc7-8be0-4aa6-a6da-0b0a1bd3fa21,A Most Perilous World: The True Story of the Young Abolitionists and Their Crusade Against Slavery,Kristina R. Gaddy,5,4,drop-to-4,3,"abolitionism history, biography (multiple young subjects), civics/social justice",n/a,"Three doors: history, biography, civics. Single age band (10-12), advanced level. Does not reach five-door threshold."
fb45189c-ae1c-4c48-afa1-d28b2f08acd8,A Rover's Story,Jasmine Warga,5,4,drop-to-4,4,"space science, AI/machine consciousness, friendship, grief/loss",no,"Four doors: space science, AI ethics, friendship, loss. Second layer fails: consciousness questions addressed explicitly through rovers narration rather than embedded structurally."
8515ce41-7c3f-4946-b367-6eb0fba6f064,A Window into the Ocean Twilight Zone,Michelle Cusolito,5,4,drop-to-4,4,"deep-sea ecology, research methodology, instrumentation/technology, food web science",no,"Four doors: ecology, methodology, technology, systems science. Carbon-cycle implications present but delivered in linear nonfiction sequence."
47471d4d-202a-43d4-bc7a-677a0218c103,Abolition and the African American Story,Patricia Williams Dockery,5,4,drop-to-4,3,"abolitionism history, African American biography, civics/resistance",n/a,"Three doors: history, biography, civics. Single band (10-12), advanced. Does not reach five-door threshold."
843303ec-5968-4384-a319-452755e169fb,Actual Size,Steve Jenkins,5,3,drop-to-3,2,"comparative scale/math, zoology",n/a,Two doors: scale math and animal science. Concept book at picture-book density — single idea (actual size) is the entire book. Calibrates with Press Here anchor.
2b83a332-fb31-482e-a34b-f46ab56e3b5b,Alberto Salas Plays Paka Paka con la Papa,Sara Andrea Fajardo,5,4,drop-to-4,3,"Latin American cultural heritage, music/performance, food history",n/a,"Three doors: cultural heritage, music, food history. Early-reader format limits concept density; does not reach five-door threshold."
1c5e53e9-5189-40a1-9de1-8e0a7ccf16a9,Almost Underwear: How a Piece of Cloth Traveled from Kitty Hawk to the Moon and Mars,Jonathan Roth,5,4,drop-to-4,4,"aviation history, space exploration, materials science, American technological history",no,"Four doors: aviation, space, materials science, history. Cloth-from-Kitty-Hawk narrative engaging but delivers meaning once; no structural re-reading layer."
