"id","title","author","age_bands","flag_type","flag_reason","recommendation"
"f239ee1f-9cc1-402c-840a-a6dea801c7c6","Adventures of Huckleberry Finn","Mark Twain","10-12","REVIEW","The N-word is used approximately 219 times throughout; pervasive racial slurs are inappropriate for unsupervised use on a children's curriculum platform regardless of literary merit.","Amy review required"
"d54c5841-4c18-4d34-ae57-c300541a835e","Ain't Burned All the Bright","Jason Reynolds","10-12","REVIEW","Centers on police violence against Black people, systemic racial trauma, and heavy emotional distress as sustained themes; ages 10-12.","Amy review required"
"9cd4e773-a45c-4dbf-9073-369dd8d55b71","All the Blues in the Sky","Renée Watson","10-12, 8-10","REVIEW","Death of a child's best friend is the central sustained plot driver. DB heads_up confirms: ""Centers on the death of a child's best friend; preview before reading.""","Amy review required"
"39f8f521-12eb-47c7-b790-5cb9d6d0604d","Amber Brown Is Not a Crayon","Paula Danziger","5-7","REVIEW","Parental divorce and its emotional impact on the child protagonist is a sustained central theme throughout the book and series.","Amy review required"
"0bb454f1-c4de-40c2-a0c4-cefadda7753b","Because of Mr. Terupt","Rob Buyea","5-7, 8-10","REVIEW","A teacher suffers a traumatic brain injury from a snowball; child guilt and the teacher's survival/recovery dominate the second half of the book.","Amy review required"
"acaebcd9-2711-40f5-8caa-b309f9ae8382","Bomb","Steve Sheinkin","10-12, 8-10","REVIEW","Covers the Manhattan Project, the Holocaust, and mass death at Hiroshima in detailed nonfiction for ages 10-12; graphic historical atrocity beyond picture-book level.","Amy review required"
"1d975941-2307-413a-824d-5a1b19795f53","Bridge to Terabithia","Katherine Paterson","8-10","REVIEW","The sudden accidental death of child friend Leslie is the central sustained emotional event; grief and loss dominate the second half of the novel.","Amy review required"
"9f083f51-a8f6-4592-b258-e371a2052b79","Choosing Brave: How Mamie Till-Mobley and Emmett Till Sparked the Civil Rights Movement","Angela Joy","2-4, 5-7","REVIEW","The torture, murder, and mutilation of 14-year-old Emmett Till is described; requires careful preview for age-appropriateness given the graphic nature of the killing.","Amy review required"
"98b0d48a-5752-4340-88b6-4f3b2c3169da","Counting by 7s","Holly Goldberg Sloan","10-12","REVIEW","Both adoptive parents die in a car accident early in the book. DB heads_up confirms parental death is ""the central emotional engine.""","Amy review required"
"ffd942f9-7a71-4f49-aaf1-03977466a7b6","Counting on Grace","Elizabeth Winthrop","5-7, 8-10","REVIEW","Child labor in early-1900s textile mills is the central subject; children work dangerous conditions and are deprived of education.","Amy review required"
"f35492f9-4c8b-4792-a57e-2a9cf726609c","Destiny of the Republic","Candice Millard","10-12","REVIEW","Centers on the assassination and slow death of President Garfield; graphic medical malpractice and the president's months-long dying are detailed.","Amy review required"
"d3c7e67d-d4b4-4edc-964a-f2c4c5e5949c","Divergent","Veronica Roth","10-12","REVIEW","Graphic dystopian violence throughout including characters murdered during initiation; war violence in the climax. At the outer edge of the platform's age range.","Amy review required"
"d2446fee-7e43-42ce-9ca0-23e71ba546ec","Echo","Pam Munoz Ryan","10-12, 8-10","REVIEW","Three storylines set in Nazi Germany (Jewish persecution), Japanese American internment, and Depression-era prejudice; dark historical atrocity requires preview for ages 8-10.","Amy review required"
"24840b2f-083c-4ef4-bb11-9293b9817f49","Esperanza Rising","Pam Munoz Ryan","10-12, 8-10","REVIEW","Father is murdered by bandits in the opening chapters; death of parent is the central plot catalyst; sustained immigration hardship and labor strike violence.","Amy review required"
"38f86438-f355-40ca-b2c0-b36c9837a905","Fahrenheit 451","Ray Bradbury","10-12","REVIEW","Mildred overdoses on sleeping pills (possible suicide attempt); violence and death are present throughout the dystopian narrative.","Amy review required"
"7134c7f2-ec4f-4986-a5c9-728ca21661d1","Fatty Legs","Christy Jordan-Fenton & Margaret Pokiak-Fenton","10-12","REVIEW","Depicts sustained emotional abuse and deliberate cultural erasure of an Indigenous child in a residential school; abuse as primary subject matter.","Amy review required"
