file:line | hard-coded value | token adopted | FINDING
--------------------------------------------------------
index.html:161 | #E8AF38 | var(--saffron) | 
index.html:161 | #0C1020 | var(--ink) | 
index.html:161 | #FAFAFA | var(--paper) | 
index.html:161 | #F8F4E9 | var(--linen) | 
index.html:161 | #F8F4E9 | var(--linen) | 
index.html:162 | #E0DED6 | var(--rule) | 
index.html:162 | #4A4850 | var(--mid) | 
index.html:162 | #A8A6B0 | var(--faint) | 
index.html:165 | #2868CC | var(--day-sky) | 
index.html:211 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
index.html:213 | #0C1020 | var(--ink) | 
index.html:300 | #4A4850 | var(--mid) | 
index.html:302 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
index.html:316 | #fff | N/A | FINDING: #FFF has no token
index.html:322 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
index.html:323 | #7A7F93 | N/A | FINDING: #7A7F93 has no token
index.html:332 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
index.html:341 | #9B8AF4 | N/A | FINDING: #9B8AF4 has no token
index.html:343 | #E06C53 | N/A | FINDING: #E06C53 has no token
index.html:344 | #4A9E78 | N/A | FINDING: #4A9E78 has no token
index.html:345 | #7CB4B8 | N/A | FINDING: #7CB4B8 has no token
index.html:346 | #E294A5 | N/A | FINDING: #E294A5 has no token
index.html:349 | #aaa | N/A | FINDING: #AAA has no token
index.html:651 | #141310 | N/A | FINDING: #141310 has no token
index.html:667 | #F4EEDF | N/A | FINDING: #F4EEDF has no token
index.html:673 | #FFFDF8 | N/A | FINDING: #FFFDF8 has no token
index.html:677 | #EAE6D8 | N/A | FINDING: #EAE6D8 has no token
index.html:678 | #2A2F45 | N/A | FINDING: #2A2F45 has no token
index.html:698 | #0C1020 | var(--ink) | 
index.html:706 | #F8F4E9 | var(--linen) | 
index.html:709 | #0C1020 | var(--ink) | 
index.html:710 | #E8AF38 | var(--saffron) | 
index.html:713 | #0C1020 | var(--ink) | 
index.html:748 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
index.html:749 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
index.html:750 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
index.html:867 | #6BBF6B | N/A | FINDING: #6BBF6B has no token
index.html:892 | #F2F0EA | var(--linen) | 
index.html:894 | #E8AF38 | var(--saffron) | 
index.html:900 | #3848D0 | N/A | FINDING: #3848D0 has no token
index.html:901 | #E8D800 | N/A | FINDING: #E8D800 has no token
index.html:902 | #38B060 | N/A | FINDING: #38B060 has no token
index.html:903 | #C83030 | N/A | FINDING: #C83030 has no token
index.html:904 | #8848E0 | N/A | FINDING: #8848E0 has no token
index.html:905 | #F08A20 | N/A | FINDING: #F08A20 has no token
index.html:906 | #3848D0 | N/A | FINDING: #3848D0 has no token
index.html:907 | #E8D800 | N/A | FINDING: #E8D800 has no token
index.html:908 | #38B060 | N/A | FINDING: #38B060 has no token
index.html:909 | #C83030 | N/A | FINDING: #C83030 has no token
index.html:910 | #8848E0 | N/A | FINDING: #8848E0 has no token
index.html:911 | #F08A20 | N/A | FINDING: #F08A20 has no token
index.html:1016 | #F8F4E9 | var(--linen) | 
index.html:1018 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
index.html:1019 | #E8AF38 | var(--saffron) | 
index.html:1020 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
index.html:1021 | #E8AF38 | var(--saffron) | 
index.html:1024 | #E8AF38 | var(--saffron) | 
index.html:1027 | #101830 | N/A | FINDING: Dark blue #101830 not in tokens
index.html:1027 | #182848 | N/A | FINDING: Dark blue #182848 not in tokens
index.html:1027 | #101830 | N/A | FINDING: Dark blue #101830 not in tokens
index.html:1033 | #FDE9A0 | N/A | FINDING: #FDE9A0 has no token
index.html:1033 | #F0C050 | N/A | FINDING: #F0C050 has no token
index.html:1033 | #E8AF38 | var(--saffron) | 
index.html:1033 | #C89030 | N/A | FINDING: #C89030 has no token
index.html:1033 | #A07020 | N/A | FINDING: #A07020 has no token
index.html:1036 | #E8AF38 | var(--saffron) | 
index.html:1037 | #E8AF38 | var(--saffron) | 
index.html:1038 | #C8CDDA | N/A | FINDING: #C8CDDA has no token
index.html:1062 | #1e3060 | N/A | FINDING: #1E3060 has no token
index.html:1062 | #131e3a | N/A | FINDING: #131E3A has no token
index.html:1062 | #0d1627 | N/A | FINDING: #0D1627 has no token
index.html:1078 | #8C91A5 | N/A | FINDING: #8C91A5 has no token
index.html:1085 | #FDE9A0 | N/A | FINDING: #FDE9A0 has no token
index.html:1085 | #F0C050 | N/A | FINDING: #F0C050 has no token
index.html:1085 | #E8AF38 | var(--saffron) | 
index.html:1085 | #C89030 | N/A | FINDING: #C89030 has no token
index.html:1085 | #A07020 | N/A | FINDING: #A07020 has no token
index.html:1120 | #A8A6B0 | var(--faint) | 
index.html:1124 | #E8AF38 | var(--saffron) | 
index.html:1160 | #E8AF38 | var(--saffron) | 
index.html:1168 | #FFFFFF | N/A | FINDING: #FFFFFF has no token
index.html:1168 | #FFF8E7 | N/A | FINDING: #FFF8E7 has no token
index.html:1172 | #FFFFFF | N/A | FINDING: #FFFFFF has no token
index.html:1234 | #FBF7EB | N/A | FINDING: #FBF7EB has no token
index.html:1254 | #F8F4E9 | var(--linen) | 
index.html:1330 | #FBF7EB | N/A | FINDING: #FBF7EB has no token
index.html:1331 | #FBF7EB | N/A | FINDING: #FBF7EB has no token
index.html:1331 | #FBF7EB | N/A | FINDING: #FBF7EB has no token
index.html:1331 | #FBF7EB | N/A | FINDING: #FBF7EB has no token
index.html:1331 | #FBF7EB | N/A | FINDING: #FBF7EB has no token
