audit_index,id,title,author,current_bands,decision,rationale,beth_review_flag
A-004,1f6aad44-0cb4-4910-9b6b-229bd02189fb,Barbed Wire Between Us,Mia Wenjen,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: Barbed Wire Between Us pairs WWII Japanese American incarceration with present-day US-Mexico border detention. Two histories of children behind fences. Format is early-reader but content sensitivity is high. Holds at 7-9 with adult support per Read and Discuss; extends to Scholar for deeper engagement. Heads Up territory — Beth confirms framing fits Artisan or routes Scholar-only.",amy-approved
A-013,d5f135cf-43f0-47fa-b8e4-03e5ddaa14a1,Blockhead: The Life of Fibonacci,Joseph D'Agnese,"5-7, 8-10",remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Blockhead: Life of Fibonacci. DUPLICATE of row 12. Same audit outcome.,amy-approved
A-014,41bb9133-6ede-4b29-8ee1-6dced433001c,Each Kindness,Jacqueline Woodson,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Each Kindness — Jacqueline Woodson on regret, exclusion, the friendship not made.",amy-approved
A-029,d3164fcf-8b5e-454e-85e4-f3093c87b7a9,Al Capone Does My Shirts,Gennifer Choldenko,"10-12, 8-10",remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Al Capone Does My Shirts.,amy-approved
A-032,c020343b-3a94-4274-b6bb-e332c9d1ddcd,Busted,Dan Gemeinhart,8-10,remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Busted.,amy-approved
A-033,8fc585a6-3849-4abe-9b04-e29313b05529,By the Great Horn Spoon!,Sid Fleischman,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: By the Great Horn Spoon — 1963 Sid Fleischman, California Gold Rush adventure. Pre-1990, browse_visible likely False. Content holds up but historical-context awareness needed (period framing of Indigenous peoples, racial caricature of period). Beth confirms — possibly retire from browse, retain for plan generator with Heads Up.",amy-approved
A-041,e399a9c3-7c4a-416a-b9bf-7c5a8c329a62,Gentle Ben,Walt Morey,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (best-guess approval). Pre-1990 with animal-cruelty themes (bear chained in shed, hunting peril). Removing per same logic as other pre-1990 period-content books. Original: Gentle Ben — 1965 Walt Morey. Pre-1990, browse_visible likely False. Content has bear-hunting peril and animal cruelty themes that need Beths eyes-on. Possibly retire from browse, retain for plan generator with Heads Up.",amy-approved
A-044,b9047b0e-4fd9-4b85-a6bf-2c3a7a8ad052,Hatchet,Gary Paulsen,"10-12, 8-10",remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Hatchet — DUPLICATE of row 43. Same audit outcome.,amy-approved
A-048,e9f85bce-0ffa-4f8e-8403-df9600e8e66e,Little House in the Big Woods,Laura Ingalls Wilder,"5-7, 8-10",remove-from-database,REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Little House in the Big Woods — 1932.,amy-approved
A-050,a58a864c-dfa0-43c9-8461-f1240f655db0,Mr. Popper's Penguins,Richard and Florence Atwater,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Mr. Poppers Penguins — 1938. Pre-1990, browse_visible likely False. Beth confirms whether period framing of Antarctic explorer / penguins-as-pets reads acceptably or should retire from browse; plan-generator retention defensible regardless.",amy-approved
A-051,ed7ffd68-7cf7-40d6-9857-7810a53a1bd7,Mr. Revere and I,Robert Lawson,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Mr. Revere and I — 1953 Robert Lawson. Pre-1990, browse_visible likely False. Horse-narrator American Revolution. Beth confirms period framing.",amy-approved
A-052,83414db6-1d55-4ee9-975e-2c4585c6f8b2,My Side of the Mountain,Jean Craighead George,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: My Side of the Mountain — 1959 Jean Craighead George. Pre-1990, browse_visible likely False. Survival/wilderness canonical. Some hunting/animal-trapping content; Beth confirms.",amy-approved
A-053,2ad54316-f66e-4668-8c30-dfea2fce2b78,Neon,Jason Reynolds,"10-12, 8-10",remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Neon — Jason Reynolds 2025. Reynolds writes consistently for upper-elementary through YA; ""luminous in her own right, without asking permission"" suggests 10-12+ thematic content (identity, agency, possibly preteen subject matter). Beth confirms upper-band only call.",amy-approved
A-055,97d24e32-12cd-4955-965c-453a6f1ca315,Out of My Mind,Sharon M. Draper,"10-12, 8-10",remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Out of My Mind.,amy-approved
A-057,3dd5ddf3-152a-46aa-87dd-d55fc1094d22,Pocket,Katherine Applegate,8-10,remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Pocket — Katherine Applegate. WWI toy bear narrator, ""outlasted everyone."" War content + grief. Applegate is canonical at 7-9 (Ivan, Crenshaw) but WWI-era loss may pull this Scholar. Beth confirms.",amy-approved
A-062,50d9c57d-0e83-475e-bc84-657c461498eb,Ramona Quimby Age 8,Beverly Cleary,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Ramona Quimby Age 8 — 1981 Cleary. Pre-1990, browse_visible likely False. Canonical early-elementary. 5-6 read-aloud, 7-9 independent. Cleary content is largely timeless; minor period detail.",amy-approved
A-063,4bce4c59-7edb-459f-be92-0a6b7e10aedf,Savvy,Ingrid Law,"5-7, 8-10",remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Savvy.,amy-approved
A-064,243fd485-11db-4113-b4e5-202bb89d2cdf,Simon Sort of Says,Erin Bow,8-10,remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Simon Sort of Says — Erin Bow 2023. Newbery Honor. Plot premise: family relocates to escape viral video. Underlying premise is school-shooting-survivor; Bow handles with grace but this is heavy. Beth confirms developmentally appropriate placement; may pull to 10-12 only with Heads Up.,amy-approved
A-068,b05ba6b0-0128-43bd-8021-bbf22bf7262c,The Cricket in Times Square,George Selden,"5-7, 8-10",remove-from-database,REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Cricket in Times Square — 1960 Selden.,amy-approved
A-071,29f0f6a1-50a4-4922-80f3-294584b2b302,The Great Brain,John D. Fitzgerald,"5-7, 8-10",remove-from-database,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Great Brain — 1967 Fitzgerald. Pre-1990, browse_visible likely False. Mormon Utah 1896 setting, scheming-older-brother humor. Period framing of Native peoples and immigrants needs Beth eyes-on.",amy-approved
