id,title,author,orbital_score,reading_level,book_format,parent_role,hook,status,browse_visible,cover_image_url,year_published,age_bands,themes,subjects
64786a7e-2554-43b3-a1d6-269c03c9e3fa,A Different Pond,Bao Phi,5,pre-reader,picture-book,read-together,A father and son go fishing before dawn. The pond is in Minneapolis. The memory is in Vietnam.,active,True,https://covers.openlibrary.org/b/isbn/9781623708030-L.jpg,2017,"2-4, 5-7","family-labor, father-son, fishing, food-sourcing, immigration, Vietnam","geography, history, science, social-emotional"
720a7d1a-2fb2-4e06-b397-8aaad0d36d68,A House for Hermit Crab,Eric Carle,4,pre-reader,picture-book,read-together,"Every month, Hermit Crab adds something new to his shell. By December, he has outgrown it entirely.",active,False,https://covers.openlibrary.org/b/isbn/9780320067044-L.jpg,1987,2-4,"calendar, change, growth, marine-biology, ocean, symbiosis","math, science, social-emotional"
f64f1281-5773-481e-aa59-a2396bb0ff9e,A Seed Grows,Antoinette Portis,4,pre-reader,nonfiction,read-together,A single seed's complete journey from soil to sunflower to seed again — with a fold-out at the end that is the full-grown plant itself.,active,True,https://covers.openlibrary.org/b/id/12527189-L.jpg,2022,"2-4, 5-7","germination, growth, plant-life-cycle, pollination, seeds",science
3e69cb1a-89cd-42dd-aebf-08e56f5f3777,A-Ztec: A Bilingual Alphabet Book,Emmanuel Valtierra,4,pre-reader,picture-book,read-together,"The alphabet told in Spanish, Nahuatl, Mayan, and other Mesoamerican languages — a reminder that American history goes 3,000 years deeper than the English alphabet.",active,True,https://m.media-amazon.com/images/I/91UQQATxAeL._SL500_.jpg,2025,"2-4, 5-7","bilingual, indigenous-languages, Mesoamerican-languages, Nahuatl, Spanish",
25a09dce-3b01-46a5-8331-4d101a250924,Aggie and the Ghost,Matthew Forsythe,3,pre-reader,picture-book,read-together,Aggie's new house comes with a ghost — and they must negotiate house rules before they can coexist.,active,True,https://covers.openlibrary.org/b/isbn/9781534478213-L.jpg,2025,2-4,"conflict-resolution, friendship, ghosts, new-home, rules",social-emotional
2b83a332-fb31-482e-a34b-f46ab56e3b5b,Alberto Salas Plays Paka Paka con la Papa,Sara Andrea Fajardo,5,early-reader,nonfiction,read-side-by-side,Alberto Salas hunts for wild potatoes in the Andes Mountains to preserve biodiversity before they go extinct — and potato conservation is more urgent than you think.,active,True,https://m.media-amazon.com/images/I/91WEqS-X5SL._SL500_.jpg,2025,"2-4, 5-7","biodiversity, conservation, Peru, potatoes, science",
61c912a2-2699-4243-907c-9e6899cb2c98,Alexander and the Terrible Horrible No Good Very Bad Day,Judith Viorst,5,pre-reader,picture-book,read-together,"Alexander's day is a masterclass in catastrophizing — and the punchline is that some days are just bad, even in Australia.",active,False,https://covers.openlibrary.org/b/id/433572-L.jpg,1972,"2-4, 5-7","bad-days, emotions, empathy, humor, perspective",
becc0e7e-b20e-4141-8b9c-cd750c8c5ab3,Anything,Rebecca Stead,3,pre-reader,picture-book,read-together,How many anythings can you wish for? The spread that answers this question is one of the most visually abundant pages in recent children's books.,active,True,https://covers.openlibrary.org/b/isbn/9781797229744-L.jpg,2025,"2-4, 5-7","childhood, friendship, imagination, possibility, wishes",social-emotional
0b6f5c1e-fb5c-44b3-a092-88c2bd1a4876,At the Window,Hope Lim,4,pre-reader,picture-book,read-together,"Two neighbors connect through their apartment windows — and when one window goes dark, the child learns to open her own.",active,True,https://covers.openlibrary.org/b/isbn/9781536224788-L.jpg,2025,"2-4, 5-7","community, friendship, loss, neighbors, observation, windows",social-emotional
053ef464-08e1-4939-88e5-40e55ceb1b8f,Awe!,Jilanne Hoffman,3,pre-reader,picture-book,read-together,"Awe is not just a feeling — it's a scientifically studied emotion that shrinks your sense of self, connects you to something larger, and makes you measurably kinder. This book opens that emotion for the youngest readers.",active,True,,2026,2-4,"awe, nature, observation, science-of-emotion, wonder",
